stopID,startID,stopNode,startNode,Line
209,208,A001,A002,A
208,207,A002,A003,A
207,206,A003,A004,A
206,205,A004,A005,A
205,204,A005,A006,A
204,199,A006,A011,A
203,202,A007,A008,A
202,201,A008,A009,A
201,200,A009,A010,A
200,199,A010,A011,A
199,198,A011,A012,A
198,197,A012,A013,A
197,192,A013,A018,A
195,194,A015,A016,A
194,193,A016,A017,A
193,192,A017,A018,A
192,191,A018,A019,A
191,190,A019,A020,A
190,189,A020,A021,A
189,188,A021,A022,A
188,187,A022,A023,A
187,186,A023,A024,A
186,185,A024,A025,A
185,184,A025,A026,A
184,183,A026,A027,A
183,182,A027,A028,A
182,181,A028,A029,A
181,180,A029,A030,A
180,179,A030,A031,A
179,178,A031,A032,A
178,177,A032,A033,A
177,176,A033,A034,A
176,175,A034,A035,A
175,174,A035,A036,A
174,173,A036,A037,A
173,172,A037,A038,A
172,170,A038,A039,A
170,169,A039,A040,A
169,168,A040,A041,A
168,167,A041,A042,A
167,166,A042,A043,A
166,165,A043,A044,A
165,164,A044,A045,A
164,163,A045,A046,A
163,162,A046,A047,A
162,161,A047,A048,A
161,160,A048,A049,A
160,159,A049,A050,A
159,158,A050,A051,A
158,157,A051,A052,A
157,156,A052,A053,A
156,155,A053,A054,A
155,154,A054,A055,A
154,153,A055,A056,A
153,152,A056,A057,A
152,151,A057,A058,A
151,150,A058,A059,A
150,149,A059,A060,A
149,148,A060,A061,A
148,147,A061,A062,A
147,146,A062,A063,A
146,145,A063,A064,A
145,144,A064,A065,A
144,143,A065,A066,A
278,279,E001,E002,E
279,280,E002,E003,E
280,258,E003,E004,E
258,259,E004,E005,E
259,260,E005,E006,E
260,261,E006,E007,E
261,262,E007,E008,E
262,263,E008,E009,E
263,264,E009,E010,E
264,265,E010,E011,E
265,266,E011,E012,E
266,267,E012,E013,E
267,268,E013,E014,E
268,269,E014,E015,E
269,270,E015,E016,E
270,271,E016,E017,E
271,272,E017,E018,E
272,273,E018,E019,E
273,274,E019,E020,E
274,275,E020,E021,E
275,276,E021,E022,E
276,277,E022,E023,E
277,162,E023,E024,E
162,163,E024,E025,E
163,164,E025,E026,E
164,165,E026,E027,E
165,166,E027,E028,E
166,167,E028,E029,E
167,168,E029,E030,E
168,169,E030,E031,E
169,171,E031,E032,E
278,279,J001,J002,J
279,80,J002,J003,J
80,81,J003,J004,J
81,82,J004,J005,J
82,83,J005,J006,J
83,84,J006,J007,J
84,85,J007,J008,J
85,86,J008,J009,J
86,87,J009,J010,J
87,88,J010,J011,J
88,89,J011,J012,J
89,90,J012,J013,J
90,91,J013,J014,J
91,184,J014,J015,J
184,93,J015,J016,J
93,94,J016,J017,J
94,95,J017,J018,J
95,96,J018,J019,J
96,97,J019,J020,J
97,98,J020,J021,J
98,99,J021,J022,J
99,100,J022,J023,J
100,101,J023,J024,J
101,102,J024,J025,J
102,103,J025,J026,J
103,104,J026,J027,J
104,105,J027,J028,J
105,106,J028,J029,J
106,107,J029,J030,J
138,137,L001,L002,L
137,136,L002,L003,L
136,135,L003,L004,L
135,134,L004,L005,L
134,133,L005,L006,L
133,184,L006,L007,L
184,131,L007,L008,L
131,130,L008,L009,L
130,129,L009,L010,L
129,128,L010,L011,L
128,127,L011,L012,L
127,126,L012,L013,L
126,125,L013,L014,L
125,124,L014,L015,L
124,123,L015,L016,L
123,122,L016,L017,L
122,121,L017,L018,L
121,120,L018,L019,L
120,119,L019,L020,L
119,118,L020,L021,L
118,117,L021,L022,L
117,116,L022,L023,L
116,115,L023,L024,L
